,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
28,GO_Biological_Process_2023,Positive Regulation Of DNA-templated Transcription (GO:0045893),14/1243,0.0007136817370282119,0.020069087619579,0,0,2.9980173964863224,21.720856216312896,IL11;MYOCD;LEF1;HMGA1;HOXC13;ETV4;FGF2;WNT11;HEY1;ID2;GPER1;ATOH8;IRF5;SP7
29,GO_Biological_Process_2023,Negative Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0060394),2/10,0.0007856794992100311,0.020069087619579,0,0,59.96084337349398,428.6577674110207,NOG;SMAD6
30,GO_Biological_Process_2023,Positive Regulation Of Epidermal Growth Factor-Activated Receptor Activity (GO:0045741),2/10,0.0007856794992100311,0.020069087619579,0,0,59.96084337349398,428.6577674110207,BTC;EREG
31,GO_Biological_Process_2023,Cytokine-Mediated Signaling Pathway (GO:0019221),6/257,0.0007956316229131104,0.020069087619579,0,0,5.950073125220636,42.461948722855006,IL11;HCK;GREM2;CSF1R;IRF5;EREG
32,GO_Biological_Process_2023,Negative Regulation Of BMP Signaling Pathway (GO:0030514),3/43,0.0008086445561002566,0.020069087619579,0,0,18.178353658536587,129.43262478902307,GREM2;NOG;SMAD6
33,GO_Biological_Process_2023,Smooth Muscle Cell Differentiation (GO:0051145),2/11,0.0009576257501889188,0.0224008294158925,0,0,53.295850066934406,370.4623058756709,MYOCD;HEY1
34,GO_Biological_Process_2023,Regulation Of Astrocyte Differentiation (GO:0048710),2/11,0.0009576257501889188,0.0224008294158925,0,0,53.295850066934406,370.4623058756709,ID2;NOG
35,GO_Biological_Process_2023,Regulation Of DNA-templated Transcription (GO:0006355),18/1922,0.0010337561039011,0.0224008294158925,0,0,2.5413740122914836,17.47081899884166,MYOCD;LEF1;HMGA1;SMAD9;HOXC13;SMAD6;ETV4;MEOX1;FGF2;EREG;WNT11;HEY1;ID2;ID1;ATOH8;ID3;IRF5;SP7
36,GO_Biological_Process_2023,Epithelial To Mesenchymal Transition (GO:0001837),3/47,0.0010495709497719,0.0224008294158925,0,0,16.522450110864746,113.33366169282206,HEY1;LEF1;NOG
37,GO_Biological_Process_2023,Positive Regulation Of Smooth Muscle Cell Proliferation (GO:0048661),3/47,0.0010495709497719,0.0224008294158925,0,0,16.522450110864746,113.33366169282206,ID2;FGF2;EREG
