,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
100,Reactome_2022,Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960,6/26,0.0010280831382474,0.0116957180776864,0,0,6.185064935064935,42.55361316538577,TUBA1C;TUBB6;TUBB2B;TUBB3;TUBB4B;TUBA4A
101,Reactome_2022,Regulation Of TP53 Activity R-HSA-5633007,17/157,0.0010407535132696,0.0117237822230079,0,0,2.517681114066656,17.290956277698534,BARD1;RFC5;BLM;RFC4;BRCA1;AURKB;AURKA;CCNA2;TPX2;BRIP1;EXO1;CHEK1;CDK1;RBBP8;DNA2;TOPBP1;CDK5R1
102,Reactome_2022,Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408,11/80,0.0011512128252364,0.0128421702543369,0,0,3.2961315860024287,22.304722241045255,CDC20;PSMD8;CCNA2;CCNB1;UBE2C;UBE2S;PLK1;CDK1;BUB1B;FBXO5;MAD2L1
103,Reactome_2022,Orc1 Removal From Chromatin R-HSA-68949,10/69,0.0012667208154318,0.0139948290089535,0,0,3.5023949889462047,23.365610881467248,PSMD8;CCNA2;CDT1;MCM7;MCM8;MCM3;MCM4;MCM5;MCM6;CDC6
104,Reactome_2022,RHOA GTPase Cycle R-HSA-8980692,16/147,0.0013662623435029,0.0149508136446179,0,0,2.5308099620826163,16.69240375220021,ARHGAP11A;TFRC;PKN3;MCAM;IQGAP3;PREX2;ANLN;DEPDC1B;OBSCN;DIAPH3;RACGAP1;MCF2L;STBD1;ECT2;NGEF;TJP2
105,Reactome_2022,Initiation Of Nuclear Envelope (NE) Reformation R-HSA-2995383,5/19,0.0014490157434185,0.0157067838602636,0,0,7.357528957528958,48.09521583974803,CCNB2;CCNB1;CDK1;VRK1;LMNB1
106,Reactome_2022,Interconversion Of Nucleotide Di- And Triphosphates R-HSA-499943,6/28,0.001554003185614,0.0165328672247268,0,0,5.62219598583235,36.35829715811356,DUT;RRM1;RRM2;TXNRD1;AK6;TYMS
107,Reactome_2022,Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957,6/28,0.001554003185614,0.0165328672247268,0,0,5.62219598583235,36.35829715811356,TUBA1C;TUBB6;TUBB2B;TUBB3;TUBB4B;TUBA4A
108,Reactome_2022,Diseases Of Programmed Cell Death R-HSA-9645723,10/71,0.0015824327154387,0.0165469124712853,0,0,3.3872059871703493,21.84338661072084,H2AZ1;PRIM2;POLA1;POLA2;PRIM1;CDC25C;LMNB1;CDC25B;CDK5R1;EZH2
109,Reactome_2022,Hemostasis R-HSA-109582,43/576,0.0015841256499925,0.0165469124712853,0,0,1.6859980836388018,10.870848055752727,SERPINE1;ATP2A3;PDGFA;ITPR3;PIK3CB;KIF11;SLC7A11;LRP8;PIK3R5;KIF15;RACGAP1;PLAU;KCNMB1;PRKAR2A;PLCG2;FLNA;PRKG2;TIMP1;HRAS;NANOS1;TGFB2;ITGA3;TGFB3;ACTN1;IRAG1;PLAUR;KIF23;KIF22;SERPINB8;TUBA4A;ADRA2A;CENPE;KIF18A;KIF18B;KIFC1;MAFF;SDC1;ITGA6;TAGLN2;KIF2C;ITGA5;KIF20A;KIF20B
110,Reactome_2022,Resolution Of Abasic Sites (AP Sites) R-HSA-73933,7/38,0.0016385092467216,0.0169607849052541,0,0,4.657777933107329,29.874840693450484,RFC5;PCNA;RFC4;POLD1;POLE2;POLE;UNG
111,Reactome_2022,Telomere C-strand Synthesis Initiation R-HSA-174430,4/12,0.0017033933252611,0.0174749904529025,0,0,10.292656587473004,65.61705408945284,POLA1;PRIM2;POLA2;PRIM1
112,Reactome_2022,Assembly Of Pre-Replicative Complex R-HSA-68867,13/110,0.0017859703436042,0.0181599993345243,0,0,2.7729260587527684,17.54650321767424,H2AZ1;CDT1;MCM7;UBE2C;MCM8;GMNN;CDC6;PSMD8;UBE2S;MCM3;MCM4;MCM5;MCM6
