gene_id	symbol
CHM13_G0000258	AL096855.1
CHM13_G0000259	AL096855.2
CHM13_G0000260	REREP1Y
CHM13_G0000261	REREP2Y
CHM13_G0000262	RPL7P11
CHM13_G0000263	RPL7P7
CHM13_G0000264	Y_RNA
CHM13_G0000265	AL357552.1
CHM13_G0000266	AL357552.2
CHM13_G0000267	RPL23AP19
CHM13_G0000268	ENO1
CHM13_G0000269	MIR6728
CHM13_G0000270	ENO1-AS1
CHM13_G0000271	RNU6-304P
CHM13_G0000272	HMGN2P17
CHM13_G0000273	AL139415.1
CHM13_G0000274	AL139415.2
CHM13_G0000275	CA6
CHM13_G0000276	RN7SL451P
CHM13_G0000277	SLC2A7
CHM13_G0000278	SLC2A5
CHM13_G0000279	AL158048.1
CHM13_G0000280	GPR157
CHM13_G0000281	MIR34AHG
CHM13_G0000282	MIR34A
CHM13_G0000283	LNCTAM34A
CHM13_G0000284	MSTRG.35
CHM13_G0000285	SPSB1
CHM13_G0000286	BX323043.1
CHM13_G0000287	LINC02606
CHM13_G0000288	RNA5SP40
CHM13_G0000289	AL928921.1
CHM13_G0000290	SLC25A33
CHM13_G0000291	AL954705.1
CHM13_G0000292	TMEM201
CHM13_G0000293	PIK3CD
CHM13_G0000294	PIK3CD-AS1
CHM13_G0000295	AL691449.1
CHM13_G0000296	PIK3CD-AS2
CHM13_G0000297	CLSTN1
CHM13_G0000298	MZT1P1
CHM13_G0000299	AL357140.3
CHM13_G0000300	CTNNBIP1
CHM13_G0000301	AL357140.1
CHM13_G0000302	AL357140.4
CHM13_G0000303	LZIC
CHM13_G0000304	AL357140.2
CHM13_G0000305	NMNAT1
CHM13_G0000306	RN7SKP269
CHM13_G0000307	TMEM274P
CHM13_G0000308	MIR5697
CHM13_G0000309	AL603962.1
CHM13_G0000310	RBP7
CHM13_G0000311	UBE4B
CHM13_G0000312	AL590639.1
CHM13_G0000313	PGAM1P11
CHM13_G0000314	RNU6-828P
CHM13_G0000315	MSTRG.42
CHM13_G0000316	AL358013.1
CHM13_G0000317	RNU6-37P
CHM13_G0000318	RN7SL731P
CHM13_G0000319	AL139424.3
CHM13_G0000320	AL139424.2
CHM13_G0000321	PGD
CHM13_G0000322	AL139424.1
CHM13_G0000323	CENPS-CORT
CHM13_G0000324	CENPS
CHM13_G0000325	CORT
CHM13_G0000326	DFFA
CHM13_G0000327	AL354956.1
CHM13_G0000328	PEX14
CHM13_G0000329	AL139423.2
CHM13_G0000330	RN7SL614P
CHM13_G0000331	CASZ1
CHM13_G0000332	AL139423.1
CHM13_G0000333	HSPE1P24
CHM13_G0000334	C1orf127
CHM13_G0000335	CFL1P6
CHM13_G0000336	TARDBP
CHM13_G0000337	AL109811.3
CHM13_G0000338	MASP2
CHM13_G0000339	AL109811.2
CHM13_G0000340	SRM
CHM13_G0000341	EXOSC10
CHM13_G0000342	AL109811.1
CHM13_G0000343	EXOSC10-AS1
CHM13_G0000344	MSTRG.46
CHM13_G0000345	MTOR-AS1
CHM13_G0000346	RNU6-537P
CHM13_G0000347	ANGPTL7
CHM13_G0000348	RNU6-291P
CHM13_G0000349	RPL39P6
CHM13_G0000350	UBIAD1
CHM13_G0000351	UBE2V2P3
CHM13_G0000352	AL031291.1
CHM13_G0000353	MTCYBP45
CHM13_G0000354	DISP3
CHM13_G0000355	AL590989.1
CHM13_G0000356	LINC01647
CHM13_G0000357	AL031731.1
CHM13_G0000358	FBXO2
CHM13_G0000359	FBXO44
CHM13_G0000360	FBXO6
CHM13_G0000361	MAD2L2
CHM13_G0000362	DRAXIN
CHM13_G0000363	AGTRAP
CHM13_G0000364	C1orf167
CHM13_G0000365	C1orf167-AS1
CHM13_G0000366	MTHFR
CHM13_G0000367	CLCN6
CHM13_G0000368	AL021155.2
CHM13_G0000369	AL021155.3
CHM13_G0000370	NPPA
CHM13_G0000371	AL021155.1
CHM13_G0000372	NPPB
CHM13_G0000373	SBF1P2
CHM13_G0000374	AL021155.4
CHM13_G0000375	RNU5E-1
