,C_1,C_2,T_6_1,T_6_2,T_24_1,T_24_2,T_72_1,T_72_2
Gm37327,0,0,0,0,0,0,0,0
Flg,0,0,0,0,0,0,0,0
Gm50163,0,0,0,0,0,0,0,0
Gm24067,0,0,0,0,0,0,0,0
A630023P12Rik,0,0,0,0,0,0,0,0
Gm5948,0,0,0,0,0,0,0,2
Tjp3,2,0,0,0,0,0,2,2
Gm50434,0,0,0,0,0,1,0,0
Edem3,5785,4040,4087,4067,3978,4519,3790,3359
Gm45293,0,0,0,0,0,2,0,2
Gm49864,1,0,2,2,2,2,2,4
Gm44541,0,0,0,0,0,0,0,0
Gm7854,0,0,0,0,0,0,2,0
Polr1b,960,711,825,853,737,696,435,447
Gm22584,0,0,0,0,0,0,0,0
Pramel41,0,0,0,0,0,0,0,0
D130043K22Rik,0,0,2,0,0,0,0,2
ENSMUSG00000118658,0,0,0,0,0,0,0,0
Grip1,4,0,0,2,0,0,2,2
Hsdl2,1184,889,769,739,867,949,952,913
Olfr5,0,0,0,0,0,0,0,0
Gm12123,0,0,0,0,0,0,0,0
Ifitm2,3567,2525,2123,2395,2815,2549,5636,5938
Gm8151,0,0,0,0,0,0,0,0
Mir5126,0,0,0,0,0,0,0,0
Gm13903,0,0,0,0,0,0,0,0
Gm7833,110,76,60,78,106,99,48,40
Trav14d-1,0,0,0,0,0,0,0,0
Cyb5r3,24195,17827,17660,17299,17860,18128,26424,25886
Gm45492,0,0,0,0,0,0,0,0
Ces4a,2,0,0,0,0,0,0,0
Pxt1,0,0,0,0,0,0,0,0
1700113B19Rik,0,0,0,0,0,0,0,0
Gm8714,0,0,0,0,0,0,0,0
1700063I16Rik,0,0,0,0,0,0,0,0
Gm44449,0,0,0,0,0,0,0,0
Gm49003,0,0,0,0,0,0,0,0
Steap1,868,699,709,785,588,650,207,190
1700072O05Rik,0,0,0,0,0,0,0,0
Gm30409,0,0,0,0,0,0,0,2
Gm8307,92,66,60,50,38,48,29,21
Gm16465,57,39,27,33,24,21,41,24
Gm14829,2,0,0,0,0,0,0,0
Ajm1,13,14,6,18,36,21,84,87
Tecta,6,10,0,0,10,16,4,8
Cd34,147,107,73,99,248,183,1891,1899
Gm9728,0,0,0,0,4,0,0,0
Gm44924,0,0,0,0,0,0,0,0
Olfr963,0,0,0,0,0,0,0,0
