,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,qvalue,-log(pvalue),-log(qvalue),BaseMean,log2(BaseMean),log2FC,abs(log2FC),sig
Ccdc80,76099.37607603682,-0.25141028157085676,0.08108776188633197,-3.100471337749847,0.0019321291250068873,0.0229457105548778,0.0229457105548778,2.7139638528666654,1.6392984890573825,76099.37607603682,16.215615962866874,-0.25141028157085676,0.25141028157085676,sig
mt-Nd5,62910.15948287478,0.18989773311575406,0.11624621394599295,1.6335820898560962,0.10234663102027988,0.39815662441268573,0.39815662441268573,0.9899264485889987,0.399946054213898,62910.15948287478,15.941028331512427,0.18989773311575406,0.18989773311575406,normal
Fth1,47064.791484743204,-0.1719028263530521,0.047007427085190095,-3.6569290644543884,0.00025525498126618274,0.004398165489549933,0.004398165489549933,3.59302577396071,2.3567284334913303,47064.791484743204,15.522391235858178,-0.1719028263530521,0.1719028263530521,sig
Rplp0,67594.72889635152,-0.04880211197167309,0.04095688150937573,-1.1915485303855824,0.23343831679935023,0.6183834839866996,0.6183834839866996,0.6318278569079128,0.2087421182314288,67594.72889635152,16.044644470809548,-0.04880211197167309,0.04880211197167309,normal
Calr,74444.14768536968,0.07939958271146584,0.038890462933527006,2.04162091994581,0.04118914851907908,0.22841862216843167,0.22841862216843167,1.3852171858849915,0.6412684924782516,74444.14768536968,16.18389019694794,0.07939958271146584,0.07939958271146584,normal
Hsp90ab1,65939.42873117384,-0.08785483043283857,0.03931944798022412,-2.2343861611949776,0.025457675473258376,0.1648303162090146,0.1648303162090146,1.5941812540690603,0.7829629082248977,65939.42873117384,16.008875646696172,-0.08785483043283857,0.08785483043283857,normal
P4hb,66843.42552183667,-0.0076313989903764486,0.039894352472293386,-0.19129020819867806,0.8482982321689201,0.9613290051545067,0.9613290051545067,0.0714514380556071,0.017127953986153716,66843.42552183667,16.028519631605786,-0.0076313989903764486,0.0076313989903764486,normal
mt-Nd1,61522.18037173235,0.1931861627235861,0.05224027564728479,3.698031075255764,0.0002172782943652587,0.003870141983130755,0.003870141983130755,3.662983656598155,2.4122731018133634,61522.18037173235,15.90884246327719,0.1931861627235861,0.1931861627235861,sig
Igfbp4,39788.4795791856,-0.061443392818821906,0.04188915286530356,-1.4668091526318492,0.14242797919219755,0.48393453273443543,0.48393453273443543,0.8464046875588371,0.3152133862796708,39788.4795791856,15.280099409180796,-0.061443392818821906,0.061443392818821906,normal
Tpt1,61111.07974072709,0.00879727573313827,0.04625015831748972,0.19021071609632823,0.8491440141874257,0.9613290051545067,0.9613290051545067,0.07101864749119563,0.017127953986153716,61111.07974072709,15.89916995860383,0.00879727573313827,0.00879727573313827,normal
Hspa8,65212.99382723418,-0.05937582379258119,0.04087066231236713,-1.4527737118322783,0.1462865931246487,0.49016578019552265,0.49016578019552265,0.8347954742765226,0.3096570113030435,65212.99382723418,15.99289395533874,-0.05937582379258119,0.05937582379258119,normal
