,log2FC_Treat_6h_vs_Control,padj_Treat_6h_vs_Control,log2FC_Treat_24h_vs_Control,padj_Treat_24h_vs_Control,log2FC_Treat_72h_vs_Control,padj_Treat_72h_vs_Control,Cluster,C_1,C_2,T_6_1,T_6_2,T_24_1,T_24_2,T_72_1,T_72_2
Gabarapl2,-0.1258165220534869,0.6780120466615402,-0.20065063755343684,0.34919047142694387,0.03308655444628081,0.8746662695267317,,4.582631619776492,4.574347872996872,4.396565139401917,4.502928257021169,4.436177106388055,4.373147009303935,4.60329121482881,4.499711460485305
Idua,-0.07397367440682996,0.8569420763638892,-0.0065355592499906166,0.9915977101136166,0.4750602149594296,0.0019238983523730982,,4.456890269599745,4.355438739747161,4.31289454919648,4.347750048201441,4.437991337751582,4.402455397217017,4.666454812183324,4.937795001529276
Polr2c,0.05295233310878606,0.9009544994089569,-0.11134784776886289,0.7087989662106348,-0.394085447564956,0.022796144564892564,,4.596459466563123,4.6150507793486035,4.548879729926889,4.742463942513937,4.436177106388055,4.592463933874789,3.9887879248353517,4.341626570385728
Bola2,0.06261067090797695,0.8726432548177051,0.019250504549423668,0.9761125113046221,-0.7258384271574864,2.8363644497173448e-06,,4.6702306299038145,4.571041485308947,4.680292287249138,4.670113689997195,4.828014598833506,4.469765626932152,3.9178758509805927,3.8375289800708408
Thada,0.25517049848676954,0.1670275438543398,0.05317597042366518,0.890729906840272,-0.23456724770222256,0.19412215393429474,,4.496760005309063,4.473475420181074,4.696104700854577,4.748457097698018,4.574553367224868,4.53407492852569,4.286909338823805,4.117169487309397
Mvk,0.23825481538369278,0.2186362605454662,-0.20565985710028525,0.31852486582565387,-0.6665300588751613,8.926037709487351e-06,,4.630460120703059,4.611836474045558,4.747089152192249,4.933438387403293,4.448829074990652,4.436503028859941,3.8995895146096515,3.966584987266162
Stimate,0.018605273801652798,0.9685395827441422,0.06044984978063127,0.8724508697746594,0.093956585652937,0.6331017371784566,,4.456890269599745,4.491076524783282,4.529594195413816,4.435805329248655,4.557964956678786,4.540680524520171,4.565679311428587,4.442893067553885
Synrg,-0.07319132833933704,0.8587011643748012,0.14221098023802625,0.6094269154152984,0.35383268558854936,0.020828959328404232,,4.350752336876196,4.471703441348501,4.321075544273969,4.345774826299999,4.50529423356128,4.6207955267544145,4.724002450307535,4.659419423508494
Nit1,-0.3863634033793746,0.029710475269122398,-0.13356795313022715,0.6391486129026182,0.03557112919064689,0.8674244301892415,,4.515076302022749,4.715798334167148,4.25642509037889,4.2241731496503885,4.5087509920457265,4.503969656348325,4.567335164035532,4.619918241612379
Ddx41,0.09145052372127066,0.7901187673903773,-0.10716968517909062,0.7431068678846444,-0.28228659206450757,0.08676283226521209,,4.624848700471838,4.508465478833184,4.631787813608593,4.666952990978726,4.594210921917799,4.367584779175362,4.223214760605992,4.263799736721063
Eml2,-0.09217071852663872,0.8073299838277941,-0.09020181143877565,0.7865466976680989,0.23917294809400907,0.14956754052414628,,4.466961474444187,4.522227295596554,4.31494415127104,4.477896253557402,4.473804938734644,4.3768432845206435,4.543978474165572,4.781878148828893
Gata2,0.6685104209485219,3.55698878611529e-06,0.01011677683240041,0.9901666335138856,0.25399828907482946,0.15900288008425492,,4.163729661067332,4.400841674531211,4.957200764494189,4.874374612689935,4.4012660158212205,4.21694774355466,4.49783675102199,4.439266508216624
Nop10,0.11080239358795235,0.7446550449744357,0.0291687263779095,0.9506792764406777,-0.07675506657785282,0.6982590806652352,,4.478208173384221,4.510192902085908,4.677108900531693,4.501154589283021,4.473804938734644,4.6019697518126295,4.347910321896239,4.379966367425914
Prkra,-0.23680947171979647,0.35807826176065416,-0.03441986848215579,0.9452657813337955,0.7035261589386205,8.348533824885269e-08,,4.339833123598656,4.408271830753795,4.013045715585998,4.2602744448358365,4.436177106388055,4.27752136639424,4.961633051263535,5.022637792618092
Gm13408,-0.0784171904304911,0.8318403433854342,-0.24687862181819528,0.19951620553607743,-0.1742033553547783,0.41280081139771874,,4.632698591787637,4.602150364876847,4.484780299318578,4.583922709841795,4.373095192195052,4.425837699797449,4.141094886740177,4.615104588973808
Itgb1bp1,-0.136000532918688,0.6284363412700323,-0.013282767178418552,0.9810824196805236,-0.42660714194945604,0.005037019709913233,,4.627095888343302,4.6262447845080095,4.502873242212197,4.47428453238835,4.594210921917799,4.668321371013736,4.165350946134213,4.161864288838601
Jam2,0.45836010290612844,0.0011837539763694849,-0.0257120133892027,0.9579725363972664,-0.0016419724904677341,0.9934555568073253,,4.376358977702491,4.424851076857586,4.8253800215728555,4.838301769470612,4.374990457530738,4.411493494039532,4.34018265255354,4.34356795269629
Slc2a10,0.2507982655135697,0.2151295937837695,0.16397129061550408,0.5090438422950816,0.2907153215751697,0.06585815069015824,,4.339833123598656,4.351589866499689,4.531358117779769,4.6219603522935335,4.501829172639975,4.537381507108838,4.5133818757282596,4.618315474636024
Wdr74,0.18590959500755788,0.3984266383942057,-0.24625249490893128,0.22051811855901304,-0.5478659010746647,0.0004744232878408347,,4.664772074991716,4.571041485308947,4.739479103910688,4.841108852524314,4.3462966798106475,4.455853679519162,3.946151270877371,4.13521390301517
Cenpc1,-0.042763682890713396,0.9221027353693503,-0.12619085284696452,0.6380371461095575,-0.3372952610145368,0.03255388221581121,,4.593014910276459,4.642087039798,4.646511148429325,4.485092683215149,4.537803762785069,4.490385199624978,4.266668334058489,4.209480319494394
Ccdc59,0.00396940465877222,0.9939305194675129,-0.1544848963666496,0.6030026555854177,-0.21278070522406572,0.28949179621701193,,4.713171131669892,4.426681509267074,4.659473594559851,4.486886195660106,4.443420383181613,4.457600027159681,4.169717656139567,4.459100707771369
Atxn7,0.04285745394354717,0.9209758409383683,0.027403153876607408,0.9533672803377805,-0.12069908135105303,0.5341618489462443,,4.5557519692158595,4.469929283420138,4.569628576387639,4.525789674396475,4.525911627215729,4.590873523668482,4.393426758247581,4.28819668380585
Lpin1,-0.19420895269955304,0.5016227145055664,0.3297518976120663,0.059535552925687914,0.9522646851233454,2.667050725210482e-13,3.0,4.180657465531836,4.222669047781561,3.9824244147344565,4.038544797020866,4.552951010331239,4.512395442015858,5.0660484524794835,5.047861891524394
Tbc1d10a,0.045616243841783165,0.9123071229464116,-0.25761293509054917,0.17174312608673395,-0.4191672121796943,0.006023901235052899,,4.603324004376939,4.67633949172072,4.683468665109619,4.666952990978726,4.378773535098889,4.441806271509797,4.184897889566217,4.181533897592913
ENSMUSG00000095742,-0.36594891632208637,0.06769109647816571,-0.14277663699865,0.6673391081146401,0.6579601866400758,4.127739158287683e-06,,4.519921627368615,4.3145041516123674,4.0916606573694,4.045863227250407,4.195733368430615,4.4060774333237696,4.914275723103851,5.080822319325479
Pdcd10,0.02406179522716601,0.9591971833764986,-0.09021916785058695,0.7954276430532735,-0.26272612400911455,0.1073076035514544,,4.543907122032946,4.610226631863024,4.64976269499651,4.531014333821285,4.4012660158212205,4.606699276046256,4.270739317270235,4.267894652962484
Gabbr1,-0.08622870002068479,0.8254486048588444,-0.061343432895245145,0.8867906400334952,0.4997751064456685,0.0013497245603520617,,4.364286152586201,4.457448709974308,4.329210409388504,4.311775563742673,4.289149663439851,4.4453309672936525,4.663361455561526,4.98830461950286
Ctnnbip1,0.28769738247800036,0.12237122383371618,0.0799126971814975,0.8204129152389316,0.1506688690608141,0.44247923704366965,,4.338462392698751,4.437615600282646,4.686638064908123,4.6219603522935335,4.501829172639975,4.461086393470912,4.56898911831696,4.370476514853121
Usp30,0.023496840467670057,0.9613290051545067,0.07062242299775989,0.850331985420726,0.26113224449671957,0.1028416968593114,,4.379028162898199,4.469929283420138,4.484780299318578,4.390534472705017,4.54959867236588,4.468033952346403,4.638372886735609,4.594057813025319
Traf6,0.029351899311070098,0.9524398680977623,0.15864132919356205,0.5433628527806904,0.32524396329911437,0.04155057932112732,,4.4505598766846255,4.302592007443427,4.442284727808904,4.357585795485656,4.551275815061557,4.548895213758409,4.658708948791237,4.608661299198185
